,score,time,samples,data_size,permutation,subject,session,channels,n_sessions,dataset,pipeline
0,0.8142857,0.03605175,10.0,10.0,1.0,1,0train,22,2,BNCI2014-001,RG+LR
1,0.8761905,0.048160553,20.0,20.0,1.0,1,0train,22,2,BNCI2014-001,RG+LR
2,0.9809524,0.06660986,60.0,60.0,1.0,1,0train,22,2,BNCI2014-001,RG+LR
3,1.0,0.104160786,100.0,100.0,1.0,1,0train,22,2,BNCI2014-001,RG+LR
4,0.85238093,0.022987127,10.0,10.0,2.0,1,0train,22,2,BNCI2014-001,RG+LR
5,0.9047619,0.031022549,20.0,20.0,2.0,1,0train,22,2,BNCI2014-001,RG+LR
6,0.97619045,0.07125163,60.0,60.0,2.0,1,0train,22,2,BNCI2014-001,RG+LR
7,0.96190476,0.1022346,100.0,100.0,2.0,1,0train,22,2,BNCI2014-001,RG+LR
8,0.6333333,0.0271132,10.0,10.0,3.0,1,0train,22,2,BNCI2014-001,RG+LR
9,0.86190474,0.038017273,20.0,20.0,3.0,1,0train,22,2,BNCI2014-001,RG+LR
10,0.9714286,0.07912254,60.0,60.0,3.0,1,0train,22,2,BNCI2014-001,RG+LR
11,0.9047619,0.040130854,10.0,10.0,4.0,1,0train,22,2,BNCI2014-001,RG+LR
12,0.9142857,0.038126945,20.0,20.0,4.0,1,0train,22,2,BNCI2014-001,RG+LR
13,0.947619,0.07085705,60.0,60.0,4.0,1,0train,22,2,BNCI2014-001,RG+LR
14,0.947619,0.035116434,10.0,10.0,5.0,1,0train,22,2,BNCI2014-001,RG+LR
15,0.96666664,0.03911686,20.0,20.0,5.0,1,0train,22,2,BNCI2014-001,RG+LR
16,0.99523807,0.031062365,10.0,10.0,6.0,1,0train,22,2,BNCI2014-001,RG+LR
17,1.0,0.039179325,20.0,20.0,6.0,1,0train,22,2,BNCI2014-001,RG+LR
18,0.89047617,0.03213668,10.0,10.0,7.0,1,0train,22,2,BNCI2014-001,RG+LR
19,0.96666664,0.038163662,20.0,20.0,7.0,1,0train,22,2,BNCI2014-001,RG+LR
20,0.74285716,0.028073072,10.0,10.0,8.0,1,0train,22,2,BNCI2014-001,RG+LR
21,0.8428571,0.03914833,20.0,20.0,8.0,1,0train,22,2,BNCI2014-001,RG+LR
22,0.81904763,0.031078815,10.0,10.0,9.0,1,0train,22,2,BNCI2014-001,RG+LR
23,0.9095238,0.037978888,20.0,20.0,9.0,1,0train,22,2,BNCI2014-001,RG+LR
24,0.89047617,0.029097795,10.0,10.0,10.0,1,0train,22,2,BNCI2014-001,RG+LR
25,0.8,0.031098604,10.0,10.0,11.0,1,0train,22,2,BNCI2014-001,RG+LR
26,0.65238094,0.028033257,10.0,10.0,12.0,1,0train,22,2,BNCI2014-001,RG+LR
27,0.96666664,0.028022528,10.0,10.0,13.0,1,0train,22,2,BNCI2014-001,RG+LR
28,0.9904762,0.030020714,10.0,10.0,14.0,1,0train,22,2,BNCI2014-001,RG+LR
29,0.64761907,0.027035952,10.0,10.0,15.0,1,0train,22,2,BNCI2014-001,RG+LR
30,0.77619046,0.026983261,10.0,10.0,16.0,1,0train,22,2,BNCI2014-001,RG+LR
31,0.7904762,0.027115345,10.0,10.0,17.0,1,0train,22,2,BNCI2014-001,RG+LR
32,0.9285714,0.0295856,10.0,10.0,18.0,1,0train,22,2,BNCI2014-001,RG+LR
33,0.71428573,0.029082775,10.0,10.0,19.0,1,0train,22,2,BNCI2014-001,RG+LR
34,0.8428571,0.029023647,10.0,10.0,20.0,1,0train,22,2,BNCI2014-001,RG+LR
35,0.8761905,0.033096552,10.0,10.0,1.0,1,1test,22,2,BNCI2014-001,RG+LR
36,0.947619,0.035975933,20.0,20.0,1.0,1,1test,22,2,BNCI2014-001,RG+LR
37,0.96666664,0.07382679,60.0,60.0,1.0,1,1test,22,2,BNCI2014-001,RG+LR
38,0.9809524,0.10305309,100.0,100.0,1.0,1,1test,22,2,BNCI2014-001,RG+LR
39,0.8666667,0.032019854,10.0,10.0,2.0,1,1test,22,2,BNCI2014-001,RG+LR
40,0.9095238,0.035098076,20.0,20.0,2.0,1,1test,22,2,BNCI2014-001,RG+LR
41,0.98571426,0.0712595,60.0,60.0,2.0,1,1test,22,2,BNCI2014-001,RG+LR
42,0.9904762,0.10218239,100.0,100.0,2.0,1,1test,22,2,BNCI2014-001,RG+LR
43,0.9238095,0.026984215,10.0,10.0,3.0,1,1test,22,2,BNCI2014-001,RG+LR
44,0.93333334,0.03601432,20.0,20.0,3.0,1,1test,22,2,BNCI2014-001,RG+LR
45,0.94285715,0.07317972,60.0,60.0,3.0,1,1test,22,2,BNCI2014-001,RG+LR
46,0.85238093,0.026989222,10.0,10.0,4.0,1,1test,22,2,BNCI2014-001,RG+LR
47,0.947619,0.037151575,20.0,20.0,4.0,1,1test,22,2,BNCI2014-001,RG+LR
48,0.9238095,0.074301004,60.0,60.0,4.0,1,1test,22,2,BNCI2014-001,RG+LR
49,0.8333333,0.030048132,10.0,10.0,5.0,1,1test,22,2,BNCI2014-001,RG+LR
50,0.9047619,0.037998438,20.0,20.0,5.0,1,1test,22,2,BNCI2014-001,RG+LR
51,0.8095238,0.028641462,10.0,10.0,6.0,1,1test,22,2,BNCI2014-001,RG+LR
52,0.9904762,0.03718114,20.0,20.0,6.0,1,1test,22,2,BNCI2014-001,RG+LR
53,0.9095238,0.02804041,10.0,10.0,7.0,1,1test,22,2,BNCI2014-001,RG+LR
54,0.9095238,0.040868044,20.0,20.0,7.0,1,1test,22,2,BNCI2014-001,RG+LR
55,0.9095238,0.029122353,10.0,10.0,8.0,1,1test,22,2,BNCI2014-001,RG+LR
56,0.9190476,0.03605199,20.0,20.0,8.0,1,1test,22,2,BNCI2014-001,RG+LR
57,0.9238095,0.028181791,10.0,10.0,9.0,1,1test,22,2,BNCI2014-001,RG+LR
58,0.9238095,0.038113832,20.0,20.0,9.0,1,1test,22,2,BNCI2014-001,RG+LR
59,0.83809525,0.02698493,10.0,10.0,10.0,1,1test,22,2,BNCI2014-001,RG+LR
60,0.88095236,0.028129816,10.0,10.0,11.0,1,1test,22,2,BNCI2014-001,RG+LR
61,0.9142857,0.026983023,10.0,10.0,12.0,1,1test,22,2,BNCI2014-001,RG+LR
62,0.93333334,0.028074026,10.0,10.0,13.0,1,1test,22,2,BNCI2014-001,RG+LR
63,0.8666667,0.029019594,10.0,10.0,14.0,1,1test,22,2,BNCI2014-001,RG+LR
64,0.94285715,0.031091452,10.0,10.0,15.0,1,1test,22,2,BNCI2014-001,RG+LR
65,0.95238096,0.029073238,10.0,10.0,16.0,1,1test,22,2,BNCI2014-001,RG+LR
66,0.81904763,0.028039932,10.0,10.0,17.0,1,1test,22,2,BNCI2014-001,RG+LR
67,0.85714287,0.028078794,10.0,10.0,18.0,1,1test,22,2,BNCI2014-001,RG+LR
68,0.9714286,0.04814124,10.0,10.0,19.0,1,1test,22,2,BNCI2014-001,RG+LR
69,0.96666664,0.027035236,10.0,10.0,20.0,1,1test,22,2,BNCI2014-001,RG+LR
